"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C29","RESC1608N","3230mil","2535mil","3230mil","2535mil","3196.535mil","2535mil","T","360.00","1608"
"C28","RESC1608N","3200mil","2655mil","3200mil","2655mil","3200mil","2688.465mil","T","270.00","1608"
"C27","RESC1608N","2320mil","2750mil","2320mil","2750mil","2320mil","2716.535mil","T","90.00","1608"
"C26","RESC1608N","2430mil","1820mil","2430mil","1820mil","2430mil","1853.465mil","T","270.00","1608"
"C25","RESC1608N","2270mil","2750mil","2270mil","2750mil","2270mil","2716.535mil","T","90.00","1608"
"C24","RESC1608N","2370mil","1820mil","2370mil","1820mil","2370mil","1853.465mil","T","270.00","1608"
"C23","RESC1608N","1955mil","2230mil","1955mil","2230mil","1988.465mil","2230mil","T","180.00","1608"
"C22","RESC1608N","1955mil","2280mil","1955mil","2280mil","1988.465mil","2280mil","T","180.00","1608"
"C21","RESC1608N","1955mil","2330mil","1955mil","2330mil","1988.465mil","2330mil","T","180.00","1608"
"C20","RESC1608N","2670mil","2750mil","2670mil","2750mil","2670mil","2716.535mil","T","90.00","1608"
"C19","RESC1608N","1955mil","2030mil","1955mil","2030mil","1988.465mil","2030mil","T","180.00","1608"
